Time_s,Load_Newtons,Stress_Pa,Deflection_m/m
1,50,7479900.00,0.0000374120000
2,100,7460900.00,0.0000373170000
3,200,7445100.00,0.0000372380000
4,400,7502400.00,0.0000375250000
